Test Instance,High-Level Solver,Low-Level Solver,Cost,CPU Time,# Expanded,# Generated,# in Open-List at Max
instances_high_agents_low_density\test_24.txt,ICTS,A*,39,0.075,8,8,1
instances_high_agents_low_density\test_3.txt,ICTS,A*,29,0.017,7,7,1
instances_high_agents_low_density\test_4.txt,ICTS,A*,42,0.171,11,13,3
instances_high_agents_low_density\test_5.txt,ICTS,A*,30,0.038,7,7,1
instances_high_agents_low_density\test_6.txt,ICTS,A*,38,0.062,7,7,1
instances_high_agents_low_density\test_7.txt,ICTS,A*,36,0.023,7,7,1
instances_high_agents_low_density\test_8.txt,ICTS,A*,32,0.076,12,17,5
instances_high_agents_low_density\test_9.txt,ICTS,A*,39,0.078,9,9,1
instances_high_agents_low_density\test_0.txt,ICTS,LA*,30,0.027,7,7,1
instances_high_agents_low_density\test_1.txt,ICTS,LA*,32,0.068,11,16,6
instances_high_agents_low_density\test_10.txt,ICTS,LA*,34,0.057,8,8,1
instances_high_agents_low_density\test_11.txt,ICTS,LA*,31,0.026,6,6,1
instances_high_agents_low_density\test_12.txt,ICTS,LA*,26,0.067,9,9,1
instances_high_agents_low_density\test_13.txt,ICTS,LA*,29,0.04,7,7,1
instances_high_agents_low_density\test_14.txt,ICTS,LA*,25,0.023,7,7,1
instances_high_agents_low_density\test_15.txt,ICTS,LA*,38,0.063,8,8,1
instances_high_agents_low_density\test_16.txt,ICTS,LA*,28,0.062,10,10,1
instances_high_agents_low_density\test_17.txt,ICTS,LA*,33,0.091,12,14,3
instances_high_agents_low_density\test_18.txt,ICTS,LA*,36,0.08,8,8,1
instances_high_agents_low_density\test_19.txt,ICTS,LA*,35,0.581,26,59,25
instances_high_agents_low_density\test_2.txt,ICTS,LA*,35,0.105,11,13,3
instances_high_agents_low_density\test_20.txt,ICTS,LA*,32,0.076,7,7,1
instances_high_agents_low_density\test_21.txt,ICTS,LA*,43,0.075,10,12,3
instances_high_agents_low_density\test_22.txt,ICTS,LA*,25,0.033,7,7,1
instances_high_agents_low_density\test_23.txt,ICTS,LA*,35,0.312,24,47,19
instances_high_agents_low_density\test_24.txt,ICTS,LA*,39,0.079,8,8,1
instances_high_agents_low_density\test_3.txt,ICTS,LA*,29,0.018,7,7,1
instances_high_agents_low_density\test_4.txt,ICTS,LA*,42,0.177,11,13,3
instances_high_agents_low_density\test_5.txt,ICTS,LA*,30,0.046,7,7,1
instances_high_agents_low_density\test_6.txt,ICTS,LA*,38,0.075,7,7,1
instances_high_agents_low_density\test_7.txt,ICTS,LA*,36,0.037,7,7,1
instances_high_agents_low_density\test_8.txt,ICTS,LA*,32,0.078,12,17,5
instances_high_agents_low_density\test_9.txt,ICTS,LA*,39,0.084,9,9,1
instances_high_agents_low_density\test_0.txt,ICTS,AL*,30,0.439,7,7,1
instances_high_agents_low_density\test_1.txt,ICTS,AL*,32,0.793,11,16,6
instances_high_agents_low_density\test_10.txt,ICTS,AL*,34,1.306,8,8,1
instances_high_agents_low_density\test_11.txt,ICTS,AL*,31,0.519,6,6,1
instances_high_agents_low_density\test_12.txt,ICTS,AL*,26,1.674,9,9,1
instances_high_agents_low_density\test_13.txt,ICTS,AL*,29,1.146,7,7,1
instances_high_agents_low_density\test_14.txt,ICTS,AL*,25,0.615,7,7,1
instances_high_agents_low_density\test_15.txt,ICTS,AL*,38,1.326,8,8,1
instances_high_agents_low_density\test_16.txt,ICTS,AL*,28,1.875,10,10,1
instances_high_agents_low_density\test_17.txt,ICTS,AL*,33,1.627,12,14,3
instances_high_agents_low_density\test_18.txt,ICTS,AL*,36,1.342,8,8,1
instances_high_agents_low_density\test_19.txt,ICTS,AL*,35,2.607,26,59,25
instances_high_agents_low_density\test_2.txt,ICTS,AL*,35,0.84,11,13,3
instances_high_agents_low_density\test_20.txt,ICTS,AL*,32,1.167,7,7,1
instances_high_agents_low_density\test_21.txt,ICTS,AL*,43,0.898,10,12,3
instances_high_agents_low_density\test_22.txt,ICTS,AL*,25,0.915,7,7,1
instances_high_agents_low_density\test_23.txt,ICTS,AL*,35,1.777,24,47,19
instances_high_agents_low_density\test_24.txt,ICTS,AL*,39,1.972,8,8,1
instances_high_agents_low_density\test_3.txt,ICTS,AL*,29,0.507,7,7,1
instances_high_agents_low_density\test_4.txt,ICTS,AL*,42,1.368,11,13,3
instances_high_agents_low_density\test_5.txt,ICTS,AL*,30,1.123,7,7,1
instances_high_agents_low_density\test_6.txt,ICTS,AL*,38,1.288,7,7,1
instances_high_agents_low_density\test_7.txt,ICTS,AL*,36,0.724,7,7,1
instances_high_agents_low_density\test_8.txt,ICTS,AL*,32,1.37,12,17,5
instances_high_agents_low_density\test_9.txt,ICTS,AL*,39,2.289,9,9,1
instances_high_agents_low_density\test_0.txt,ICTS,IDA*,30,0.019,7,7,1
instances_high_agents_low_density\test_1.txt,ICTS,IDA*,32,0.064,11,16,6
instances_high_agents_low_density\test_10.txt,ICTS,IDA*,34,0.045,8,8,1
instances_high_agents_low_density\test_11.txt,ICTS,IDA*,31,0.022,6,6,1
instances_high_agents_low_density\test_12.txt,ICTS,IDA*,26,0.058,9,9,1
instances_high_agents_low_density\test_13.txt,ICTS,IDA*,29,0.037,7,7,1
instances_high_agents_low_density\test_14.txt,ICTS,IDA*,25,0.017,7,7,1
instances_high_agents_low_density\test_15.txt,ICTS,IDA*,38,0.063,8,8,1
instances_high_agents_low_density\test_16.txt,ICTS,IDA*,28,0.054,10,10,1
instances_high_agents_low_density\test_17.txt,ICTS,IDA*,33,0.087,12,14,3
instances_high_agents_low_density\test_18.txt,ICTS,IDA*,36,0.069,8,8,1
instances_high_agents_low_density\test_19.txt,ICTS,IDA*,35,0.551,26,59,25
instances_high_agents_low_density\test_2.txt,ICTS,IDA*,35,0.09,11,13,3
instances_high_agents_low_density\test_20.txt,ICTS,IDA*,32,0.08,7,7,1
instances_high_agents_low_density\test_21.txt,ICTS,IDA*,43,0.063,10,12,3
instances_high_agents_low_density\test_22.txt,ICTS,IDA*,25,0.037,7,7,1
instances_high_agents_low_density\test_23.txt,ICTS,IDA*,35,0.285,24,47,19
instances_high_agents_low_density\test_24.txt,ICTS,IDA*,39,0.078,8,8,1
instances_high_agents_low_density\test_3.txt,ICTS,IDA*,29,0.016,7,7,1
instances_high_agents_low_density\test_4.txt,ICTS,IDA*,42,0.147,11,13,3
instances_high_agents_low_density\test_5.txt,ICTS,IDA*,30,0.051,7,7,1
instances_high_agents_low_density\test_6.txt,ICTS,IDA*,38,0.052,7,7,1
instances_high_agents_low_density\test_7.txt,ICTS,IDA*,36,0.024,7,7,1
instances_high_agents_low_density\test_8.txt,ICTS,IDA*,32,0.082,12,17,5
instances_high_agents_low_density\test_9.txt,ICTS,IDA*,39,0.068,9,9,1
